Year,From_Cluster,To_Cluster,From_Time,To_Time,From_Lat,From_Lon,To_Lat,To_Lon,Bearing_Degrees,Angle_wrt_X_Axis,Direction
1980,1,2,1980-06-25 21:32:49.500000+00:00,1980-07-29 18:44:24+00:00,30.581090909090907,88.739,29.390875,80.913125,262.01,187.99,W
1980,2,3,1980-10-10 14:02:26.700000+00:00,1980-11-18 13:46:22+00:00,29.390875,80.913125,29.5755,85.19749999999999,86.11,3.89,E
1982,1,2,1982-01-23 17:48:02.140000+00:00,1982-01-23 18:19:46.370000+00:00,31.639000000000003,82.2255,31.583538461538463,82.33776923076924,120.09,329.91,SE
1982,2,3,1982-06-10 21:27:45.920000+00:00,1982-12-21 12:08:46.680000+00:00,31.583538461538463,82.33776923076924,29.247,81.376,199.79,250.21,S
1985,1,2,1985-02-16 11:16:29.170000+00:00,1985-06-17 04:24:05.140000+00:00,30.8235,85.584,31.563333333333333,82.303,285.61,164.39,W
1985,2,3,1985-07-12 05:45:09.800000+00:00,1985-10-03 20:23:23.140000+00:00,31.563333333333333,82.303,29.032,83.9345,150.49,299.51,SE
1985,3,4,1985-10-21 08:57:09.130000+00:00,1985-10-12 18:22:35.880000+00:00,29.032,83.9345,27.1262,92.4586,102.18,347.82,E
1985,4,5,1985-12-26 18:04:26.730000+00:00,1985-12-08 13:35:00.730000+00:00,27.1262,92.4586,30.84925,86.537,307.12,142.88,NW
1986,1,2,1986-09-09 16:40:13.200000+00:00,1986-05-22 14:44:54.580000+00:00,31.58225,85.068,31.6365,91.1425,87.81,2.19,E
1986,2,3,1986-05-23 09:51:14.380000+00:00,1986-06-23 17:19:29.650000+00:00,31.6365,91.1425,31.176,86.78866666666666,264.07,185.93,W
1987,1,2,1987-01-19 08:12:05.810000+00:00,1987-01-24 10:34:26.160000+00:00,28.314,83.62700000000001,27.561333333333334,92.83833333333332,93.11,356.89,E
1987,2,3,1987-10-15 16:22:50.400000+00:00,1987-04-23 09:05:56.920000+00:00,27.561333333333334,92.83833333333332,28.1055,86.9205,277.31,172.69,W
1987,3,4,1987-05-10 05:10:40.050000+00:00,1987-06-06 03:14:24.490000+00:00,28.1055,86.9205,30.5125,79.2345,291.61,158.39,W
1987,4,5,1987-06-06 11:02:41.590000+00:00,1987-09-25 23:16:30.700000+00:00,30.5125,79.2345,29.81271428571429,90.37371428571429,91.34,358.66,E
1988,1,2,1988-01-10 06:31:42.210000+00:00,1988-01-23 15:37:29.390000+00:00,29.791,90.436,29.515,81.388,270.24,179.76,W
1988,2,3,1988-12-02 16:59:13.310000+00:00,1988-03-13 11:13:49.550000+00:00,29.515,81.388,29.056,81.53833333333334,164.02,285.98,S
1988,3,4,1988-12-15 23:14:24.520000+00:00,1988-04-11 12:11:31.030000+00:00,29.056,81.53833333333334,27.6935,85.75399999999999,109.16,340.84,E
1988,4,5,1988-10-29 09:10:52.550000+00:00,1988-04-25 16:04:02.760000+00:00,27.6935,85.75399999999999,26.7214,86.6344,140.95,309.05,SE
1988,5,6,1988-09-02 06:35:33.130000+00:00,1988-05-26 16:30:05.770000+00:00,26.7214,86.6344,27.295,88.4255,69.82,20.18,E
1989,1,2,1989-04-19 16:40:28.380000+00:00,1989-02-28 00:26:41.180000+00:00,30.122857142857143,90.06871428571428,26.973,92.72966666666667,142.78,307.22,SE
1989,2,3,1989-09-19 17:07:46.150000+00:00,1989-03-01 22:52:49.570000+00:00,26.973,92.72966666666667,28.096,83.991,280.25,169.75,W
1990,1,2,1990-02-23 14:25:18.390000+00:00,1990-05-13 04:43:48.990000+00:00,29.205,90.079,32.345,92.80933333333331,36.07,53.93,NE
1990,2,3,1990-12-01 09:20:51.110000+00:00,1990-05-20 09:10:02.320000+00:00,32.345,92.80933333333331,28.28533333333333,83.16000000000001,246.52,203.48,SW
1990,3,4,1990-12-20 17:04:44.080000+00:00,1990-09-02 06:29:24.830000+00:00,28.28533333333333,83.16000000000001,26.632,92.626,98.92,351.08,E
1990,4,5,1990-12-29 19:24:12.150000+00:00,1990-10-14 09:52:41.010000+00:00,26.632,92.626,30.77725,86.30850000000001,308.29,141.71,NW
1991,1,2,1991-10-15 19:11:00.950000+00:00,1991-05-18 04:52:19.070000+00:00,30.603,79.45533333333333,31.6645,80.092,27.01,62.99,NE
1991,2,3,1991-05-18 06:59:22.130000+00:00,1991-05-20 00:20:39.920000+00:00,31.6645,80.092,31.19033333333333,86.70366666666666,93.07,356.93,E
1991,3,4,1991-06-15 17:42:12.510000+00:00,1991-05-26 05:29:14.870000+00:00,31.19033333333333,86.70366666666666,29.31833333333333,80.30566666666667,252.92,197.08,W
1991,4,5,1991-06-10 21:30:11.950000+00:00,1991-08-16 01:23:27.540000+00:00,29.31833333333333,80.30566666666667,30.7875,78.7425,317.75,132.25,NW
1992,1,2,1992-08-09 15:16:30.650000+00:00,1992-04-01 20:54:03.780000+00:00,30.813666666666663,78.42233333333333,31.864,83.7755,75.68,14.32,E
1992,2,3,1992-11-26 12:44:34.290000+00:00,1992-07-30 09:07:39.190000+00:00,31.864,83.7755,29.865,90.29016666666666,107.98,342.02,E
1992,3,4,1992-08-08 19:50:42.630000+00:00,1992-10-31 01:56:05.240000+00:00,29.865,90.29016666666666,27.645000000000003,93.005,132.35,317.65,SE
1993,1,2,1993-02-16 17:21:06.130000+00:00,1993-03-20 21:26:39.450000+00:00,30.955,90.22583333333334,29.0425,87.366,233.05,216.95,SW
1993,2,3,1993-03-31 13:44:10.110000+00:00,1993-04-12 00:57:57.980000+00:00,29.0425,87.366,28.257,82.831,259.93,190.07,W
1993,3,4,1993-11-22 00:27:06.820000+00:00,1993-06-23 17:19:26.750000+00:00,28.257,82.831,27.675,92.777,91.44,358.56,E
1993,4,5,1993-09-20 07:40:54.980000+00:00,1993-07-03 02:00:22.230000+00:00,27.675,92.777,28.423,86.737,279.4,170.6,W
1993,5,6,1993-12-14 02:27:44.390000+00:00,1993-07-05 21:41:45.980000+00:00,28.423,86.737,27.948,85.053,252.65,197.35,W
1993,6,7,1993-07-05 22:11:09.840000+00:00,1993-07-06 20:07:49.880000+00:00,27.948,85.053,31.8765,81.9755,326.58,123.42,NW
1993,7,8,1993-07-17 17:55:34.410000+00:00,1993-09-12 08:03:36.870000+00:00,31.8765,81.9755,31.176,83.73733333333332,114.54,335.46,SE
1993,8,9,1993-09-16 20:42:54.620000+00:00,1993-10-20 07:23:38.640000+00:00,31.176,83.73733333333332,28.7495,82.268,208.05,241.95,SW
1995,1,2,1995-10-27 11:33:23.450000+00:00,1995-02-02 10:40:31.280000+00:00,28.599,83.418,30.12633333333333,88.12275,68.43,21.57,E
1995,2,3,1995-12-27 04:15:01.130000+00:00,1995-03-21 10:03:25.020000+00:00,30.12633333333333,88.12275,30.822,90.4315,70.15,19.85,E
1995,3,4,1995-03-26 12:04:15.040000+00:00,1995-03-24 08:12:39.960000+00:00,30.822,90.4315,28.783,87.95349999999999,227.14,222.86,SW
1995,4,5,1995-12-11 09:49:29.890000+00:00,1995-03-26 18:22:35.180000+00:00,28.783,87.95349999999999,27.5015,92.4095,107.0,343.0,E
1995,5,6,1995-07-03 00:59:47.960000+00:00,1995-04-17 01:32:45.040000+00:00,27.5015,92.4095,29.861,81.55760000000001,286.49,163.51,W
1995,6,7,1995-08-08 19:09:57.430000+00:00,1995-06-28 21:46:52.200000+00:00,29.861,81.55760000000001,31.113,86.786,73.15,16.85,E
1996,1,2,1996-01-19 12:26:17.220000+00:00,1996-01-23 17:34:41+00:00,28.92,86.423,30.605,79.2025,286.82,163.18,W
1996,2,3,1996-08-03 13:33:24.220000+00:00,1996-02-18 19:19:24.080000+00:00,30.605,79.2025,30.11366666666667,84.01299999999999,95.53,354.47,E
1996,3,4,1996-04-14 12:59:00.250000+00:00,1996-02-22 01:11:27.330000+00:00,30.11366666666667,84.01299999999999,28.1085,87.3595,123.62,326.38,SE
1996,4,5,1996-10-03 01:29:03.110000+00:00,1996-03-12 21:20:15.270000+00:00,28.1085,87.3595,30.08918867924529,88.12983018867925,18.58,71.42,N
1996,5,6,1996-10-14 14:49:12.740000+00:00,1996-03-23 16:07:34.230000+00:00,30.08918867924529,88.12983018867925,27.1,88.268,177.64,272.36,S
1996,6,7,1996-09-13 03:41:08.660000+00:00,1996-05-21 00:35:44.410000+00:00,27.1,88.268,29.068,91.8805,57.46,32.54,NE
1996,7,8,1996-11-11 20:23:48.960000+00:00,1996-05-21 19:51:38.140000+00:00,29.068,91.8805,26.9152,92.4302,167.16,282.84,S
1996,8,9,1996-11-24 00:52:08.560000+00:00,1996-07-10 17:41:35.230000+00:00,26.9152,92.4302,29.143,81.64800000000001,285.68,164.32,W
1996,9,10,1996-12-29 21:51:32.730000+00:00,1996-07-23 21:51:37.640000+00:00,29.143,81.64800000000001,31.345,87.69800000000001,65.65,24.35,NE
1996,10,11,1996-07-24 13:39:25.830000+00:00,1996-09-11 23:14:14.950000+00:00,31.345,87.69800000000001,27.5445,92.627,130.29,319.71,SE
1996,11,12,1996-09-14 02:09:19.180000+00:00,1996-09-14 02:12:07.230000+00:00,27.5445,92.627,30.594,78.44550000000001,287.21,162.79,W
1996,12,13,1996-09-25 07:12:23.060000+00:00,1996-11-04 20:43:55.170000+00:00,30.594,78.44550000000001,29.2945,81.706,113.88,336.12,SE
1997,1,2,1997-03-22 21:14:39.180000+00:00,1997-01-25 20:08:28.740000+00:00,30.2585,87.906,29.963600000000003,88.2282,136.53,313.47,SE
1997,2,3,1997-09-13 18:38:09.500000+00:00,1997-01-31 17:09:15.910000+00:00,29.963600000000003,88.2282,27.942500000000003,85.10249999999999,234.3,215.7,SW
1997,3,4,1997-03-24 21:28:06.090000+00:00,1997-01-31 20:55:53.180000+00:00,27.942500000000003,85.10249999999999,27.87933333333333,85.06400000000001,208.32,241.68,SW
1997,4,5,1997-02-03 10:38:13.800000+00:00,1997-03-10 17:50:36.950000+00:00,27.87933333333333,85.06400000000001,27.2995,92.5635,93.24,356.76,E
1997,5,6,1997-03-10 17:55:14.440000+00:00,1997-04-05 17:31:51.200000+00:00,27.2995,92.5635,30.0575,86.14150000000001,297.6,152.4,NW
1997,6,7,1997-08-16 20:30:55.060000+00:00,1997-04-07 13:00:42.180000+00:00,30.0575,86.14150000000001,27.58,86.5215,172.25,277.75,S
1997,7,8,1997-10-11 10:11:10.340000+00:00,1997-11-27 16:11:57.070000+00:00,27.58,86.5215,27.5465,87.261,92.75,357.25,E
1998,1,2,1998-09-26 20:48:44.110000+00:00,1998-02-22 22:45:24.880000+00:00,27.8187,86.761,30.156825,88.084225,26.02,63.98,NE
1998,2,3,1998-10-24 13:19:53.200000+00:00,1998-03-19 17:01:32.730000+00:00,30.156825,88.084225,31.1185,77.73599999999999,278.79,171.21,W
1998,3,4,1998-03-19 17:13:19.600000+00:00,1998-06-06 11:06:27.170000+00:00,31.1185,77.73599999999999,30.3755,89.2535,91.33,358.67,E
1998,4,5,1998-06-06 11:13:08.330000+00:00,1998-07-08 03:44:59.330000+00:00,30.3755,89.2535,27.44,91.002,152.03,297.97,SE
1998,5,6,1998-08-18 04:10:20.690000+00:00,1998-07-20 01:05:58.350000+00:00,27.44,91.002,30.1065,88.14099999999999,317.44,132.56,NW
1998,6,7,1998-08-25 07:41:40.190000+00:00,1998-09-26 18:27:05.470000+00:00,30.1065,88.14099999999999,27.756,92.7605,119.04,330.96,SE
1999,1,2,1999-03-23 07:29:53.370000+00:00,1999-03-28 19:36:05.510000+00:00,28.651,78.4195,30.30394117647059,79.34070588235294,25.66,64.34,NE
1999,2,3,1999-05-14 08:31:03.600000+00:00,1999-04-02 07:41:25.880000+00:00,30.30394117647059,79.34070588235294,32.346500000000006,92.024,76.06,13.94,E
1999,3,4,1999-04-02 09:39:28.330000+00:00,1999-09-12 09:00:08.160000+00:00,32.346500000000006,92.024,31.179,77.483,268.48,181.52,W
1999,4,5,1999-11-08 21:45:15.640000+00:00,1999-10-03 06:38:41.980000+00:00,31.179,77.483,30.243,87.9025,93.28,356.72,E
1999,5,6,1999-12-25 00:45:24.350000+00:00,1999-12-21 17:17:30.820000+00:00,30.243,87.9025,31.103,86.355,303.26,146.74,NW
2000,1,2,2000-01-25 16:43:22.950000+00:00,2000-01-05 13:08:17.760000+00:00,27.611,92.5645,32.242,92.851,3.0,87.0,N
2000,2,3,2000-12-14 08:54:22.900000+00:00,2000-01-11 09:40:09.960000+00:00,32.242,92.851,31.2515,86.6,261.1,188.9,W
2000,3,4,2000-01-25 04:09:36.340000+00:00,2000-01-25 16:37:33.930000+00:00,31.2515,86.6,27.1395,92.161,128.88,321.12,SE
2000,4,5,2000-07-17 06:52:11.620000+00:00,2000-01-25 17:29:56.880000+00:00,27.1395,92.161,27.5875,92.581,39.68,50.32,NE
2000,5,6,2000-01-26 21:11:55.600000+00:00,2000-03-26 15:58:34.130000+00:00,27.5875,92.581,30.328000000000003,88.2115,306.68,143.32,NW
2000,6,7,2000-04-10 15:02:08.520000+00:00,2000-04-28 00:17:17.980000+00:00,30.328000000000003,88.2115,31.875333333333334,78.383,282.94,167.06,W
2000,7,8,2000-08-31 02:08:45.950000+00:00,2000-05-05 22:48:19.830000+00:00,31.875333333333334,78.383,29.365,81.526,132.05,317.95,SE
2000,8,9,2000-10-09 01:21:10.850000+00:00,2000-05-23 18:29:17.550000+00:00,29.365,81.526,30.9335,87.15350000000001,70.73,19.27,E
2001,1,2,2001-08-09 05:56:22.860000+00:00,2001-03-25 07:56:08.940000+00:00,30.446,79.09450000000001,31.41075,85.65,78.59,11.41,E
2001,2,3,2001-06-13 11:09:52.220000+00:00,2001-04-15 08:36:34.310000+00:00,31.41075,85.65,29.448125,81.650875,241.38,208.62,SW
2001,3,4,2001-12-18 02:22:00.070000+00:00,2001-04-28 10:37:56.570000+00:00,29.448125,81.650875,28.892,87.19200000000001,95.2,354.8,E
2001,4,5,2001-04-29 10:39:05.170000+00:00,2001-12-02 11:00:36.740000+00:00,28.892,87.19200000000001,31.4245,86.3445,344.07,105.93,N
2002,1,2,2002-12-27 03:28:32.590000+00:00,2002-02-06 07:53:29.620000+00:00,29.85945,87.9194,31.269,88.14699999999999,7.86,82.14,N
2002,2,3,2002-10-11 21:07:10.090000+00:00,2002-04-02 19:34:14.790000+00:00,31.269,88.14699999999999,29.165,86.941,206.66,243.34,SW
2002,3,4,2002-04-02 19:57:21.290000+00:00,2002-05-03 13:55:45.050000+00:00,29.165,86.941,30.7965,86.3295,342.17,107.83,N
2002,4,5,2002-12-30 16:46:27.570000+00:00,2002-06-04 14:47:16.310000+00:00,30.7965,86.3295,30.3982,81.3364,265.98,184.02,W
2002,5,6,2002-08-14 13:01:33.860000+00:00,2002-07-16 18:39:24.490000+00:00,30.3982,81.3364,27.990333333333336,87.472,112.69,337.31,SE
2002,6,7,2002-10-29 17:26:33.450000+00:00,2002-08-20 08:46:26.900000+00:00,27.990333333333336,87.472,27.4195,92.7495,95.73,354.27,E
2002,7,8,2002-11-14 02:59:22.370000+00:00,2002-11-16 08:52:21.060000+00:00,27.4195,92.7495,29.70414285714286,90.45785714285716,319.16,130.84,NW
2003,1,2,2003-07-28 02:44:59.980000+00:00,2003-01-21 17:09:26.390000+00:00,28.66,81.9975,29.9015,87.944,75.1,14.9,E
2003,2,3,2003-02-26 23:40:50.710000+00:00,2003-06-03 03:33:31.840000+00:00,29.9015,87.944,30.66925,86.098,296.18,153.82,NW
2003,3,4,2003-11-14 08:17:55.610000+00:00,2003-11-15 14:43:59.540000+00:00,30.66925,86.098,30.3545,83.1905,263.58,186.42,W
2003,4,5,2003-12-10 17:17:37.330000+00:00,2003-11-22 05:07:05.740000+00:00,30.3545,83.1905,28.25866666666667,83.76899999999999,166.32,283.68,S
2003,5,6,2003-11-23 19:15:05.590000+00:00,2003-12-15 22:54:20.320000+00:00,28.25866666666667,83.76899999999999,31.5745,78.17699999999999,305.75,144.25,NW
2004,1,2,2004-05-29 12:22:15.630000+00:00,2004-06-24 10:03:28.600000+00:00,28.506,82.6545,29.93525,87.997,71.67,18.33,E
2004,2,3,2004-08-21 09:08:52.370000+00:00,2004-07-11 23:24:03.580000+00:00,29.93525,87.997,30.649,83.56485714285714,281.68,168.32,W
2004,3,4,2004-12-02 23:45:55.200000+00:00,2004-09-06 08:46:35.950000+00:00,30.649,83.56485714285714,30.9778,81.2404,279.95,170.05,W
2004,4,5,2004-12-05 13:04:38.080000+00:00,2004-10-26 11:13:02.660000+00:00,30.9778,81.2404,32.083,92.7556,80.58,9.42,E
2005,1,2,2005-01-16 08:43:46.800000+00:00,2005-01-21 13:25:52.740000+00:00,29.5425,80.8305,27.429,92.6925,98.58,351.42,E
2005,2,3,2005-01-21 13:50:21.610000+00:00,2005-02-08 01:51:35.940000+00:00,27.429,92.6925,27.79,86.05250000000001,275.05,174.95,W
2005,3,4,2005-02-08 04:13:56.390000+00:00,2005-03-06 03:22:43.610000+00:00,27.79,86.05250000000001,30.314884615384617,83.5245,319.41,130.59,NW
2005,4,5,2005-10-10 19:51:54.520000+00:00,2005-05-15 19:21:49.060000+00:00,30.314884615384617,83.5245,31.6545,92.6555,77.96,12.04,E
2005,5,6,2005-06-03 14:57:27.040000+00:00,2005-05-30 10:57:29.930000+00:00,31.6545,92.6555,31.311666666666667,88.18466666666667,266.03,183.97,W
2005,6,7,2005-08-20 14:07:09.120000+00:00,2005-09-05 01:45:43+00:00,31.311666666666667,88.18466666666667,30.441,79.203,265.88,184.12,W
2005,7,8,2005-12-14 07:09:54.190000+00:00,2005-10-29 23:32:10.440000+00:00,30.441,79.203,29.662333333333333,81.76733333333333,108.69,341.31,E
2005,8,9,2005-11-06 01:36:56.670000+00:00,2005-12-10 05:39:33.640000+00:00,29.662333333333333,81.76733333333333,29.225,82.1825,140.32,309.68,SE
