time,year,month,actual_sector,actual_lat,actual_lon,actual_lat_min,actual_lat_max,actual_lon_min,actual_lon_max,pred_sector,pred_lat,pred_lon,pred_lat_min,pred_lat_max,pred_lon_min,pred_lon_max,pred_probability,top2_sector,top2_prob,top3_sector,top3_prob,actual_rank,is_correct,in_top3,in_top5
2006-02-19 21:18:57.570000+00:00,2006,2,43,28.75,80.3125,27.5,30.0,78.125,82.5,52,31.25,84.6875,30.0,32.5,82.5,86.875,0.8363,51,0.0918,43,0.02,3,False,True,True
2006-02-21 10:59:11.990000+00:00,2006,2,38,26.25,93.4375,25.0,27.5,91.25,95.625,38,26.25,93.4375,25.0,27.5,91.25,95.625,0.6623,46,0.1024,44,0.0478,1,True,True,True
2006-02-23 20:22:46.550000+00:00,2006,2,38,26.25,93.4375,25.0,27.5,91.25,95.625,52,31.25,84.6875,30.0,32.5,82.5,86.875,0.7817,53,0.1032,51,0.0276,7,False,False,False
2006-02-23 20:36:59.800000+00:00,2006,2,38,26.25,93.4375,25.0,27.5,91.25,95.625,53,31.25,89.0625,30.0,32.5,86.875,91.25,0.6958,54,0.13,37,0.0478,7,False,False,False
2006-04-11 03:54:06.590000+00:00,2006,4,52,31.25,84.6875,30.0,32.5,82.5,86.875,51,31.25,80.3125,30.0,32.5,78.125,82.5,0.4515,53,0.1229,36,0.0924,7,False,False,False
2006-05-29 16:09:08.730000+00:00,2006,5,50,31.25,75.9375,30.0,32.5,73.75,78.125,52,31.25,84.6875,30.0,32.5,82.5,86.875,0.4495,51,0.3006,43,0.1048,12,False,False,False
2006-07-20 00:35:00.180000+00:00,2006,7,52,31.25,84.6875,30.0,32.5,82.5,86.875,38,26.25,93.4375,25.0,27.5,91.25,95.625,0.5036,46,0.2438,45,0.0628,5,False,False,True
2007-01-20 17:51:09.600000+00:00,2007,1,45,28.75,89.0625,27.5,30.0,86.875,91.25,46,28.75,93.4375,27.5,30.0,91.25,95.625,0.464,45,0.2003,38,0.1501,2,False,True,True
2007-02-06 21:38:59.340000+00:00,2007,2,43,28.75,80.3125,27.5,30.0,78.125,82.5,43,28.75,80.3125,27.5,30.0,78.125,82.5,0.3312,51,0.3085,52,0.2369,1,True,True,True
2007-02-15 19:09:39.030000+00:00,2007,2,51,31.25,80.3125,30.0,32.5,78.125,82.5,51,31.25,80.3125,30.0,32.5,78.125,82.5,0.8027,52,0.0642,45,0.0293,1,True,True,True
2007-03-27 11:19:29.320000+00:00,2007,3,37,26.25,89.0625,25.0,27.5,86.875,91.25,38,26.25,93.4375,25.0,27.5,91.25,95.625,0.5233,45,0.1165,44,0.0906,8,False,False,False
2007-05-18 12:40:01.190000+00:00,2007,5,52,31.25,84.6875,30.0,32.5,82.5,86.875,52,31.25,84.6875,30.0,32.5,82.5,86.875,0.8437,53,0.0588,51,0.0518,1,True,True,True
2007-05-25 03:13:52.480000+00:00,2007,5,45,28.75,89.0625,27.5,30.0,86.875,91.25,52,31.25,84.6875,30.0,32.5,82.5,86.875,0.3756,38,0.2346,46,0.0738,5,False,False,True
2007-06-09 07:07:39.820000+00:00,2007,6,53,31.25,89.0625,30.0,32.5,86.875,91.25,53,31.25,89.0625,30.0,32.5,86.875,91.25,0.4925,54,0.2705,45,0.064,1,True,True,True
2007-07-20 04:44:58.880000+00:00,2007,7,46,28.75,93.4375,27.5,30.0,91.25,95.625,37,26.25,89.0625,25.0,27.5,86.875,91.25,0.5075,38,0.1065,46,0.0851,3,False,True,True
2008-01-09 08:51:20.930000+00:00,2008,1,52,31.25,84.6875,30.0,32.5,82.5,86.875,45,28.75,89.0625,27.5,30.0,86.875,91.25,0.5836,44,0.1723,53,0.1216,7,False,False,False
2008-01-27 20:57:38.300000+00:00,2008,1,46,28.75,93.4375,27.5,30.0,91.25,95.625,38,26.25,93.4375,25.0,27.5,91.25,95.625,0.6853,45,0.2398,44,0.0176,4,False,False,True
2008-01-29 12:23:53.810000+00:00,2008,1,52,31.25,84.6875,30.0,32.5,82.5,86.875,51,31.25,80.3125,30.0,32.5,78.125,82.5,0.6728,52,0.0914,45,0.0732,2,False,True,True
2008-02-12 18:24:34.160000+00:00,2008,2,44,28.75,84.6875,27.5,30.0,82.5,86.875,44,28.75,84.6875,27.5,30.0,82.5,86.875,0.3422,45,0.2253,43,0.1925,1,True,True,True
2008-03-05 10:46:06.370000+00:00,2008,3,38,26.25,93.4375,25.0,27.5,91.25,95.625,38,26.25,93.4375,25.0,27.5,91.25,95.625,0.8146,45,0.0853,44,0.0415,1,True,True,True
2008-03-13 15:42:33.180000+00:00,2008,3,44,28.75,84.6875,27.5,30.0,82.5,86.875,51,31.25,80.3125,30.0,32.5,78.125,82.5,0.221,52,0.1715,44,0.1678,3,False,True,True
2008-04-01 10:17:08.930000+00:00,2008,4,45,28.75,89.0625,27.5,30.0,86.875,91.25,53,31.25,89.0625,30.0,32.5,86.875,91.25,0.7314,54,0.1055,37,0.0448,5,False,False,True
2008-06-14 11:38:16.220000+00:00,2008,6,53,31.25,89.0625,30.0,32.5,86.875,91.25,51,31.25,80.3125,30.0,32.5,78.125,82.5,0.5155,53,0.1718,36,0.0476,2,False,True,True
2009-01-07 10:27:06.710000+00:00,2009,1,52,31.25,84.6875,30.0,32.5,82.5,86.875,51,31.25,80.3125,30.0,32.5,78.125,82.5,0.501,52,0.2998,43,0.063,2,False,True,True
2009-02-18 10:11:43.650000+00:00,2009,2,52,31.25,84.6875,30.0,32.5,82.5,86.875,45,28.75,89.0625,27.5,30.0,86.875,91.25,0.3528,44,0.2313,43,0.1021,4,False,False,True
2009-03-18 00:29:33.430000+00:00,2009,3,38,26.25,93.4375,25.0,27.5,91.25,95.625,43,28.75,80.3125,27.5,30.0,78.125,82.5,0.469,38,0.377,46,0.0567,2,False,True,True
2010-01-11 05:15:16.160000+00:00,2010,1,46,28.75,93.4375,27.5,30.0,91.25,95.625,38,26.25,93.4375,25.0,27.5,91.25,95.625,0.3894,45,0.2498,46,0.2087,3,False,True,True
2010-02-16 20:58:01.490000+00:00,2010,2,52,31.25,84.6875,30.0,32.5,82.5,86.875,52,31.25,84.6875,30.0,32.5,82.5,86.875,0.3325,51,0.288,45,0.1374,1,True,True,True
2010-02-19 16:14:55.810000+00:00,2010,2,43,28.75,80.3125,27.5,30.0,78.125,82.5,44,28.75,84.6875,27.5,30.0,82.5,86.875,0.2095,43,0.1782,45,0.1393,2,False,True,True
2010-02-25 14:06:19.770000+00:00,2010,2,51,31.25,80.3125,30.0,32.5,78.125,82.5,53,31.25,89.0625,30.0,32.5,86.875,91.25,0.4043,54,0.2758,51,0.0834,3,False,True,True
2010-03-15 20:17:16.890000+00:00,2010,3,52,31.25,84.6875,30.0,32.5,82.5,86.875,54,31.25,93.4375,30.0,32.5,91.25,95.625,0.824,53,0.0981,50,0.0279,6,False,False,False
2011-02-10 03:51:44.230000+00:00,2011,2,37,26.25,89.0625,25.0,27.5,86.875,91.25,52,31.25,84.6875,30.0,32.5,82.5,86.875,0.5682,53,0.0947,46,0.0871,7,False,False,False
